id,neighbourhood_group,neighbourhood,room_type,minimum_nights,price,availability_365,latitude,longitude
54466,Manhattan,Harlem,Private room,30,172.0,365,40.80255,-73.95803
54508,Brooklyn,Park Slope,Private room,3,92.0,216,40.6789595110935,-73.97409474641334
54860,Manhattan,East Harlem,Private room,30,125.0,332,40.79934,-73.94236
55959,Brooklyn,Williamsburg,Private room,4,142.0,61,40.71065,-73.95087
57166,Queens,Ditmars Steinway,Entire home/apt,30,99.0,301,40.772472,-73.906075
57874,Manhattan,East Harlem,Entire home/apt,30,116.0,244,40.80747,-73.94076
58059,Manhattan,Harlem,Private room,30,60.0,92,40.8238,-73.94444
59014,Manhattan,Lower East Side,Entire home/apt,30,150.0,181,40.71946,-73.98641
59121,Queens,Ridgewood,Entire home/apt,30,223.0,365,40.70271,-73.8993
60611,Manhattan,East Harlem,Entire home/apt,30,125.0,174,40.792667388916016,-73.946533203125
60666,Manhattan,Harlem,Private room,30,60.0,59,40.81006,-73.94559
60680,Manhattan,East Village,Entire home/apt,30,150.0,357,40.72598,-73.97978
61406,Manhattan,Harlem,Private room,60,65.0,179,40.80371,-73.95635
62925,Brooklyn,Greenpoint,Entire home/apt,30,285.0,51,40.72967,-73.95352
63588,Bronx,Clason Point,Private room,30,90.0,0,40.81161,-73.85499
63610,Bronx,Eastchester,Private room,30,120.0,358,40.881,-73.83511
64314,Brooklyn,Crown Heights,Private room,30,71.0,63,40.67634,-73.95143
64365,Brooklyn,Crown Heights,Private room,30,57.0,329,40.67579,-73.95072
66251,Manhattan,East Village,Entire home/apt,30,415.0,97,40.72547,-73.98619
66275,Manhattan,Nolita,Entire home/apt,30,199.0,295,40.72036,-73.99435
66974,Brooklyn,Gowanus,Entire home/apt,30,209.0,274,40.68088,-73.99102
67299,Brooklyn,Williamsburg,Entire home/apt,30,207.0,32,40.71516,-73.96448
68735,Manhattan,Upper West Side,Entire home/apt,30,189.0,170,40.78846,-73.97459
68974,Manhattan,Nolita,Entire home/apt,30,657.0,307,40.72,-73.99487
69894,Manhattan,Upper West Side,Entire home/apt,30,128.0,102,40.77845,-73.98295
75635,Manhattan,Chinatown,Entire home/apt,30,120.0,269,40.71624,-73.994
75658,Brooklyn,Bedford-Stuyvesant,Private room,30,221.0,364,40.695588790857855,-73.95461923691613
77765,Brooklyn,Greenpoint,Hotel room,1,238.0,112,40.73777,-73.95366
79067,Brooklyn,Clinton Hill,Entire home/apt,48,380.0,65,40.68337,-73.96253
80493,Manhattan,East Village,Private room,30,76.0,365,40.7226132,-73.9854593
80700,Brooklyn,Greenpoint,Private room,1,428.0,214,40.73777,-73.95366
81739,Brooklyn,Greenpoint,Private room,1,428.0,214,40.73777,-73.95366
82638,Manhattan,East Village,Entire home/apt,30,182.0,362,40.72408,-73.98154
82928,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,165.0,301,40.68433,-73.94469
83243,Brooklyn,Bushwick,Entire home/apt,30,56.0,231,40.68769,-73.91788
83474,Brooklyn,Downtown Brooklyn,Private room,30,166.0,365,40.69132,-73.98573
84010,Brooklyn,Greenpoint,Hotel room,1,238.0,116,40.73777,-73.95366
89427,Brooklyn,Clinton Hill,Entire home/apt,30,800.0,358,40.68513,-73.96648
92242,Manhattan,Lower East Side,Entire home/apt,30,386.0,179,40.71974,-73.98393
93313,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,165.0,199,40.684569430603325,-73.93840021354636
94783,Brooklyn,Crown Heights,Entire home/apt,7,145.0,43,40.6736,-73.9551
96471,Brooklyn,Clinton Hill,Private room,30,171.0,364,40.68513,-73.96648
98663,Manhattan,Chelsea,Entire home/apt,30,150.0,121,40.75077,-73.99657
100002,Manhattan,Washington Heights,Private room,30,62.0,173,40.85433,-73.9324
100186,Brooklyn,Gowanus,Entire home/apt,30,150.0,75,40.66952,-73.99201
103555,Brooklyn,Fort Greene,Entire home/apt,30,260.0,120,40.693047,-73.971985
105469,Queens,Rockaway Beach,Private room,30,114.0,90,40.58603,-73.8145
106647,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,175.0,110,40.68647,-73.95862
106906,Brooklyn,Clinton Hill,Entire home/apt,50,176.0,80,40.68615,-73.96769
107630,Brooklyn,Greenpoint,Entire home/apt,30,175.0,142,40.72741,-73.95466
230877,Manhattan,East Harlem,Entire home/apt,30,127.0,229,40.79147,-73.94629
232612,Brooklyn,Bedford-Stuyvesant,Private room,3,108.0,160,40.68518847176618,-73.94268839549034
170761,Brooklyn,Fort Greene,Private room,2,105.0,178,40.68877615321917,-73.97762359693657
176135,Brooklyn,Crown Heights,Entire home/apt,30,101.0,95,40.67545,-73.96096
177606,Manhattan,Kips Bay,Entire home/apt,30,150.0,181,40.74045,-73.9749
179670,Manhattan,East Village,Private room,30,175.0,83,40.72113,-73.98213
182069,Manhattan,East Harlem,Entire home/apt,30,130.0,281,40.78959,-73.94705
188803,Brooklyn,Fort Greene,Private room,3,105.0,5,40.6879299,-73.97646399999999
189135,Manhattan,Hell's Kitchen,Private room,2,179.0,71,40.76263,-73.99401
190974,Brooklyn,Park Slope,Entire home/apt,30,130.0,334,40.66836,-73.98166
191541,Manhattan,Hell's Kitchen,Entire home/apt,30,350.0,253,40.75876,-73.98869
191610,Manhattan,Chelsea,Private room,2,166.0,90,40.74697296939259,-74.00178397023312
195123,Manhattan,Washington Heights,Private room,30,75.0,365,40.83338,-73.94326
195240,Brooklyn,Flatbush,Private room,30,60.0,88,40.65468,-73.95721
195989,Brooklyn,Park Slope,Private room,3,105.0,121,40.6767158,-73.9818207
199733,Brooklyn,Crown Heights,Entire home/apt,30,125.0,304,40.67635,-73.96108
201992,Brooklyn,Park Slope,Entire home/apt,30,190.0,31,40.67466,-73.97853
204065,Brooklyn,Clinton Hill,Entire home/apt,30,398.0,81,40.687,-73.96149
205485,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,185.0,154,40.68339,-73.94034
206957,Brooklyn,Sheepshead Bay,Private room,30,65.0,87,40.5847,-73.94088
208889,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,95.0,249,40.69049,-73.93212
209310,Queens,Sunnyside,Private room,30,56.0,244,40.73933410644531,-73.9248046875
212109,Manhattan,West Village,Private room,31,112.0,278,40.73814,-74.00811
213330,Manhattan,Chinatown,Private room,5,220.0,243,40.71681594848633,-73.98969268798828
216080,Brooklyn,Fort Greene,Private room,30,183.0,107,40.69062,-73.97354
218358,Manhattan,Harlem,Private room,30,68.0,185,40.80592,-73.95172
219066,Brooklyn,Bensonhurst,Entire home/apt,30,106.0,91,40.61943,-73.99232
219922,Manhattan,Harlem,Private room,30,90.0,89,40.81553,-73.95438
222304,Manhattan,Chelsea,Entire home/apt,30,139.0,81,40.7401,-74.00019
223930,Brooklyn,Prospect Heights,Entire home/apt,30,150.0,363,40.67319,-73.96804
225354,Brooklyn,Williamsburg,Entire home/apt,30,181.0,293,40.71085,-73.96672
225976,Staten Island,Shore Acres,Entire home/apt,30,84.0,153,40.61019,-74.06757
227495,Manhattan,Upper West Side,Entire home/apt,30,190.0,125,40.78764,-73.97274
228317,Brooklyn,Bedford-Stuyvesant,Private room,30,160.0,364,40.68563832502508,-73.92470229417086
292121,Manhattan,Hell's Kitchen,Entire home/apt,30,158.0,365,40.76387,-73.98742
292800,Manhattan,West Village,Entire home/apt,90,243.0,234,40.73431,-74.00225
294227,Brooklyn,Greenpoint,Entire home/apt,1,352.0,213,40.73778,-73.95366
294242,Brooklyn,Greenpoint,Entire home/apt,1,352.0,211,40.73778,-73.95366
294259,Brooklyn,Greenpoint,Entire home/apt,1,352.0,201,40.73778,-73.95366
294263,Brooklyn,Greenpoint,Entire home/apt,1,352.0,207,40.73778,-73.95366
294280,Brooklyn,Greenpoint,Entire home/apt,1,352.0,213,40.73778,-73.95366
295998,Manhattan,Upper West Side,Entire home/apt,30,300.0,175,40.79131,-73.9694
